modelo,umbral,accuracy,precision,recall,f1,roc_auc
Tuned-HistGradientBoostingClassifier,0.50,0.5389,0.5638,0.6612,0.6087,0.5604
Tuned-HistGradientBoostingClassifier,0.477 (opt),0.5423,0.5423,1.0,0.7032,0.5604
