variable,chi2,p_value,dof,niveles
consultante_nacionalidad,148.78653754313527,4.228331216242915e-23,17,18
consultante_provincia,126.0066596097206,8.156239546021546e-16,24,25
es_anonima,46.5070233951716,9.129065509546322e-12,1,2
consultante_localidad,499.5750484887586,2.9583953981843268e-09,328,329
mes,20.739830229767563,0.036168876308528664,11,12
temporada,7.338305623471104,0.11905435002055584,4,5
