consultante_provincia,consultante_localidad,anio,trimestre,trimestre_lbl,intervenciones,confirmadas,tasa
santa fe,santa fe de la vera cruz,2023,1,T1,1,1,1.0
santa fe,santo tom,2022,1,T1,1,1,1.0
santa fe,villa gobernador galvez,2022,3,T3,1,1,1.0
santiago del estero,,2020,4,T4,1,1,1.0
santiago del estero,,2022,1,T1,2,2,1.0
santiago del estero,,2022,3,T3,1,1,1.0
santiago del estero,,2023,1,T1,2,2,1.0
santiago del estero,,2023,3,T3,1,0,0.0
santiago del estero,,2024,2,T2,3,2,0.6666666666666666
santiago del estero,,2024,3,T3,2,2,1.0
santiago del estero,aguirre,2020,2,T2,1,1,1.0
santiago del estero,ciudad autnoma de buenos aires,2022,4,T4,1,0,0.0
santiago del estero,donadeu,2022,3,T3,1,0,0.0
santiago del estero,la banda,2022,1,T1,2,0,0.0
santiago del estero,la banda,2022,2,T2,1,1,1.0
santiago del estero,la banda,2022,3,T3,1,1,1.0
santiago del estero,la banda,2022,4,T4,1,0,0.0
santiago del estero,santiago del estero,2020,1,T1,1,0,0.0
santiago del estero,santiago del estero,2021,1,T1,2,2,1.0
santiago del estero,santiago del estero,2021,2,T2,1,1,1.0
santiago del estero,santiago del estero,2022,2,T2,1,0,0.0
santiago del estero,termas de ro hondo,2024,4,T4,1,0,0.0
santiago del estero,villa atamisqui,2022,4,T4,1,1,1.0
tierra del fuego,,2023,2,T2,1,1,1.0
tierra del fuego,,2023,3,T3,2,2,1.0
tierra del fuego,,2024,1,T1,1,1,1.0
tierra del fuego,,2024,3,T3,1,0,0.0
tierra del fuego,paran,2023,3,T3,1,0,0.0
tierra del fuego,rio grande,2020,1,T1,1,1,1.0
tierra del fuego,ro grande,2020,4,T4,1,0,0.0
tierra del fuego,ushuaia,2020,3,T3,2,2,1.0
tierra del fuego,ushuaia,2021,2,T2,1,1,1.0
tierra del fuego,ushuaia,2021,3,T3,1,1,1.0
tierra del fuego,ushuaia,2021,4,T4,1,1,1.0
tucumn,,2022,1,T1,3,1,0.3333333333333333
tucumn,,2022,2,T2,2,0,0.0
tucumn,,2022,3,T3,2,1,0.5
tucumn,,2022,4,T4,5,3,0.6
tucumn,,2023,1,T1,7,3,0.42857142857142855
tucumn,,2023,2,T2,3,1,0.3333333333333333
tucumn,,2023,3,T3,9,4,0.4444444444444444
tucumn,,2023,4,T4,11,6,0.5454545454545454
tucumn,,2024,1,T1,7,6,0.8571428571428571
tucumn,,2024,2,T2,10,3,0.3
tucumn,,2024,3,T3,8,2,0.25
tucumn,,2024,4,T4,6,1,0.16666666666666666
tucumn,alderetes,2022,4,T4,1,1,1.0
tucumn,juan bautista alberdi,2023,1,T1,1,0,0.0
tucumn,san miguel de tucumn,2020,1,T1,1,1,1.0
tucumn,san miguel de tucumn,2020,2,T2,1,1,1.0
tucumn,san miguel de tucumn,2020,4,T4,1,1,1.0
tucumn,san miguel de tucumn,2021,1,T1,2,2,1.0
tucumn,san miguel de tucumn,2022,2,T2,1,1,1.0
tucumn,san miguel de tucumn,2023,4,T4,1,1,1.0
tucumn,san miguel de tucumn,2024,1,T1,1,1,1.0
tucumn,tucumn,2020,3,T3,1,0,0.0
