threshold,precision,recall,f1
0.47745004625716136,0.5423063800750597,1.0,0.7032407919473374
0.4952831467125869,0.5431331953071084,0.9902485058194401,0.701504178272523
0.4988694261559574,0.5441099704193493,0.9836426549229318,0.7006497871382373
0.4995337319772702,0.5637086092715232,0.669392890846178,0.6120218579230009
0.49958260205298377,0.5641434262948207,0.6681346335325574,0.6117511520732363
0.4997916340780063,0.5642458100558659,0.667190940547342,0.6114153934846577
0.5006321153706507,0.5638412017167382,0.6612142183076439,0.6086578833062933
0.5006809854002617,0.5638269282450954,0.6599559609940233,0.6081159420284886
0.5018390004963358,0.5636118598382749,0.6577540106951871,0.6070547249232945
0.5032058527869018,0.5643939393939394,0.6561811890531614,0.6068363636358666
0.503290502572402,0.5640747764833378,0.6549229317395407,0.6061135371174067
0.5061703923156295,0.5666942833471417,0.6454860018873859,0.6035294117642079
0.5098452793922812,0.565290648694187,0.6332179930795848,0.5973293768541009
0.5112115604050528,0.5658080951033116,0.6288140924819126,0.5956495828362118
0.514002604106511,0.5653900709219858,0.6269267065114816,0.594570405727425
0.5153683120368456,0.5777080062794349,0.5787983642654922,0.578252671275427
0.5219995967703103,0.5782247765006385,0.5696759987417427,0.5739185549036355
0.5233636710278584,0.6117154811715482,0.45989304812834225,0.5250493804987019
0.5427451956816493,0.6115520282186949,0.43630072349795535,0.5092711584353502
0.5467012363456822,0.6113636363636363,0.4230890217049387,0.5000929540802006
0.5477898127770442,0.6122355105795768,0.4186851211072664,0.49729123855733554
0.5492456232680558,0.6121212121212121,0.4130229631959736,0.4932381667914046
0.5505988839258883,0.6541764246682279,0.26360490720352314,0.3757847533628193
0.557489268724752,0.6513872135102533,0.1698647373387858,0.26946107784398327
0.5592332333916437,0.6499388004895961,0.16703365838313936,0.2657657657654405
0.5671127732866164,0.6537982565379825,0.1651462724127084,0.26368658965311853
0.5752823329573689,0.6587926509186351,0.15791129285938973,0.2547576757165112
0.5882312271309771,0.6609271523178808,0.15696759987417427,0.25368581596308587
0.5945680566531202,0.6616643929058663,0.15256369927650204,0.24795501022464433
0.5958853632239066,0.6904024767801857,0.07014784523435043,0.12735579668743963
0.602582573983937,0.8333333333333334,0.0015728216420257944,0.0031397174254279513
