consultante_provincia,0,1
,1584,1570
buenos aires,683,1000
catamarca,30,19
chaco,53,71
chubut,23,36
ciudad autnoma de buenos aires,341,415
corrientes,35,48
crdoba,121,174
entre ros,49,49
formosa,33,21
jujuy,21,36
la pampa,4,7
la rioja,4,27
mendoza,69,108
misiones,38,61
neuqun,47,63
ro negro,93,45
salta,51,81
san juan,15,30
san luis,12,27
santa cruz,8,12
santa fe,138,172
santiago del estero,34,49
tierra del fuego,8,22
tucumn,113,98
