pontevedra,0.03,0.0
posadas,0.0,0.24
presidencia roque senz pea,0.0,0.02
presidente derqui,0.03,0.0
puerto esperanza,0.0,0.02
puerto iguaz,0.0,0.02
puerto madryn,0.0,0.05
puerto vilelas,0.0,0.02
quilmes,0.11,0.17
rafael castillo,0.0,0.05
ramn castillo,0.03,0.0
ramos meja,0.0,0.05
rauch,0.03,0.02
rawson,0.0,0.12
remedios de escalada,0.03,0.05
resistencia,0.11,0.28
ricardo rojas,0.0,0.02
rio gallegos,0.0,0.07
rio grande,0.0,0.05
rivadavia,0.0,0.05
ro cuarto,0.0,0.07
ro gallegos,0.03,0.05
ro grande,0.03,0.0
ro primero,0.03,0.0
ro tercero,0.0,0.07
rodeo,0.0,0.02
rodeo de la cruz,0.03,0.0
rosario,1.11,0.92
rosario de lerma,0.0,0.02
saladillo,0.03,0.0
salta,0.19,0.35
san antonio,0.06,0.0
san bernardo del tuy,0.03,0.0
san carlos,0.0,0.02
san carlos de bariloche,0.08,0.14
san clemente del tuyu,0.03,0.0
san fernando,0.08,0.07
san fernando del valle de catamarca,0.08,0.07
san francisco,0.03,0.0
san francisco solano,0.03,0.07
san isidro,0.03,0.09
san jos,0.0,0.07
san juan,0.0,0.09
san justo,0.06,0.05
san lorenzo,0.0,0.02
san luis,0.08,0.19
san marcos sierras,0.03,0.02
san martn,0.03,0.05
san miguel,0.11,0.24
san miguel de tucumn,0.11,0.5
san miguel del monte,0.03,0.14
san nicolas,0.0,0.07
san nicols,0.0,0.02
san nicols de los arroyos,0.03,0.02
san pedro,0.03,0.0
san rafael,0.0,0.05
san ramon de la nueva oran,0.0,0.05
san roque,0.0,0.02
san salvador de jujuy,0.14,0.31
san vicente,0.0,0.02
santa ana,0.0,0.02
santa fe,0.22,0.33
santa fe de la vera cruz,0.0,0.02
santa luca,0.03,0.0
santa rosa,0.0,0.05
santiago del estero,0.14,0.24
santo tom,0.03,0.05
sebastian elcano,0.0,0.02
sierra de los padres,0.0,0.07
sm tuc,0.03,0.0
sourigues,0.06,0.0
tacuil,0.0,0.02
taf viejo,0.0,0.02
tandil,0.0,0.07
tapiales,0.03,0.0
tartagal,0.03,0.0
temperley,0.0,0.05
termas de rio hondo,0.0,0.02
termas de ro hondo,0.03,0.07
tigre,0.06,0.05
trelew,0.0,0.09
tres arroyos,0.0,0.02
tres de febrero,0.03,0.0
trujui,0.0,0.02
tucumn,0.03,0.0
tunuyn,0.0,0.02
ushuaia,0.0,0.14
v. luro,0.03,0.0
vedia,0.03,0.0
veinticinco de mayo,0.0,0.02
venado tuerto,0.0,0.02
vera,0.03,0.0
vicente lpez,0.11,0.05
victoria,0.0,0.02
villa atamisqui,0.0,0.02
villa ballester,0.03,0.0
villa carlos paz,0.0,0.02
villa centenario,0.03,0.0
villa de leales,0.03,0.0
villa de merlo,0.06,0.02
villa dominico,0.06,0.0
villa el chocn,0.03,0.0
villa elvira,0.0,0.02
villa fiorito,0.17,0.02
villa gobernador galvez,0.0,0.05
villa la angostura,0.0,0.02
villa la florida,0.03,0.0
villa luro,0.0,0.02
villa lynch,0.0,0.05
villa madero,0.03,0.05
villa martelli,0.0,0.05
villa mercedes,0.03,0.09
villa pueyrredon,0.0,0.02
villa ro hondo,0.0,0.05
villa tesei,0.06,0.0
villaguay,0.03,0.02
virrey del pino,0.0,0.05
virreyes,0.0,0.02
vista alegre norte,0.03,0.0
wilde,0.06,0.02
william c. morris,0.03,0.0
zapala,0.03,0.0
zarate,0.0,0.12
zrate,0.0,0.05
