threshold,precision,recall,f1
0.084304587397543,0.5423063800750597,1.0,0.7032407919473374
0.09772028179207419,0.5422282886879373,0.9996854356715948,0.7030973451322874
0.11692261019900273,0.542320819112628,0.9996854356715948,0.7031751299917997
0.12003468722865454,0.5424133811230586,0.9996854356715948,0.7032529320641601
0.12608504088903283,0.5425059747354046,0.9996854356715948,0.7033307513550823
0.12884126371639062,0.5425985999658528,0.9996854356715948,0.7034085878702832
0.12958808917467385,0.542691256830601,0.9996854356715948,0.7034864416154817
0.13017609554091933,0.5426131511528608,0.9993708713431897,0.703342926720819
0.13191227421429044,0.5427058421592074,0.9993708713431897,0.7034207904346151
0.13245630497538916,0.5427985648385444,0.9993708713431897,0.7034986713901549
0.13248998274934223,0.5427204374572796,0.9990563070147845,0.703355110175604
0.13325851665718627,0.5428131943257563,0.9990563070147845,0.7034330011069635
0.13391722815118387,0.5429059829059829,0.9990563070147845,0.7035109092918241
0.1348814068173532,0.5428278338177466,0.9987417426863794,0.7033673017275012
0.13589895526030074,0.5429206566347469,0.9987417426863794,0.7034452198954115
0.1365360428595848,0.5428424833247819,0.9984271783579742,0.7033015732324265
0.1417110414118974,0.5429353404036948,0.9984271783579742,0.7033795013845853
0.14747863854625087,0.5430282292557742,0.9984271783579742,0.7034574468080542
0.14871829447104865,0.5431211498973306,0.9984271783579742,0.7035354095085761
0.1550182988487539,0.5432141023446859,0.9984271783579742,0.7036133894918956
0.155171331222865,0.5431359123587812,0.9981126140295691,0.7034696818529965
0.1589414545713653,0.5432288991611025,0.9981126140295691,0.7035476718398983
0.1601370782645355,0.5431506849315069,0.9977980497011639,0.7034039250466663
0.16168677906491102,0.5432437061140606,0.9977980497011639,0.7034819250383547
0.1629983302059983,0.5431654676258992,0.9974834853727588,0.7033381390701878
0.16458083701770876,0.543087202329964,0.9971689210443536,0.703194321206287
0.16513136019428293,0.5431802604523647,0.9971689210443536,0.703272323904147
0.1653875819246157,0.543101970865467,0.9968543567159485,0.7031284668289198
0.16608747036253008,0.5431950634213233,0.9968543567159485,0.7032064795291116
0.17060891898016517,0.5432881878964513,0.9968543567159485,0.7032845095423752
0.1714850070408362,0.5432098765432098,0.9965397923875432,0.7031406059256335
0.17228962307598072,0.5433030354999142,0.9965397923875432,0.7032186459484888
0.17358583901030428,0.5432246998284734,0.996225228059138,0.7030747030742464
0.1755606716340573,0.5431463372791216,0.9959106637307329,0.7029307282411064
0.17561664078185557,0.5432395332875772,0.9959106637307329,0.7030087709554663
0.17731627701926356,0.5433327612836795,0.9959106637307329,0.7030868310010977
0.177756504826692,0.543254376930999,0.9955960994023277,0.702942809549793
0.18046832989982026,0.5434409340659341,0.9955960994023277,0.7030989670105393
0.18093559866045225,0.5433625279065774,0.9952815350739226,0.7029548989108961
0.18147894386513072,0.5432840948127791,0.9949669707455174,0.7028107987996763
0.18183113094445022,0.5433774265590104,0.9949669707455174,0.7028888888884319
0.18417049140665073,0.5432989690721649,0.9946524064171123,0.702744749416145
0.18445486734655075,0.543392335452827,0.9946524064171123,0.7028228495216591
0.1849762998371297,0.5434857339291853,0.9946524064171123,0.7029009669885392
0.18504998313233903,0.5435791645177926,0.9946524064171123,0.7029791018225755
0.18557619033300127,0.5436726272352133,0.9946524064171123,0.7030572540295597
0.18568424012477366,0.5435941530524505,0.9943378420887071,0.7029130531460851
0.18701579857417241,0.543687650498796,0.9943378420887071,0.7029912153892904
0.1872873274179559,0.5437811801135386,0.9943378420887071,0.7030693950173363
0.18898696498758635,0.5437026841018582,0.994023277760302,0.7029251473691346
0.19131041889083855,0.5436241610738255,0.9937087134318968,0.7027808676302437
0.19303782789112403,0.5437177280550775,0.9937087134318968,0.7028590499494817
0.19376695664209542,0.5438113272508177,0.9937087134318968,0.7029372496657644
0.19391995697571288,0.543732782369146,0.9933941491034917,0.7027929231107033
0.1947863024665145,0.5436542104356811,0.9930795847750865,0.7026485644331061
0.1973827166455597,0.543747847054771,0.9930795847750865,0.7027267668331544
0.19757044599367565,0.5438415159345392,0.9930795847750865,0.7028049866424635
0.1983195341342968,0.543762922122674,0.9927650204466814,0.7026605810971714
0.19878487053896915,0.5438566258831639,0.9927650204466814,0.7027388109547865
0.19983991140326365,0.5439503619441571,0.9927650204466814,0.7028170582335922
0.2008622201146731,0.5440441303223582,0.9927650204466814,0.702895322939409
0.20087253758124504,0.5441379310344827,0.9927650204466814,0.7029736050780591
0.2016572737261406,0.5442317640972582,0.9927650204466814,0.7030519046553679
0.20168751871947316,0.5443256295274232,0.9927650204466814,0.7031302216771631
0.20185240251534511,0.5444195273417285,0.9927650204466814,0.7032085561492751
0.20195797686287953,0.5445134575569358,0.9927650204466814,0.7032869080775368
0.20222893903241376,0.5446074201898188,0.9927650204466814,0.703365277467784
0.20353833086589856,0.5447014152571625,0.9927650204466814,0.7034436643258546
0.2035824635678102,0.5447954427757639,0.9927650204466814,0.7035220686575896
0.20623383499435358,0.5447168508287292,0.9924504561182762,0.7033775498824986
0.2064309736018417,0.5448109134864445,0.9924504561182762,0.703455964325072
0.2064467404511415,0.5447322970639032,0.992135891789871,0.7033114059533833
0.20675566976386406,0.5448263948868544,0.992135891789871,0.7033898305080168
0.2068118639255827,0.5447477539737388,0.9918213274614659,0.7032452325187795
0.20782632364420048,0.5446690858821497,0.9915067631330607,0.7031006022748044
0.2079688182222774,0.5445903905979952,0.9911921988046556,0.702955939765298
0.2081312576066198,0.5446845289541918,0.9911921988046556,0.7030343596604078
0.20816862772194375,0.5446058091286307,0.9908776344762504,0.7028896574802964
