modelo,umbral,accuracy,precision,recall,f1,roc_auc
Tuned-LogisticRegression,0.50,0.5846,0.6258,0.5819,0.6031,0.6278
Tuned-LogisticRegression,0.328 (opt),0.5662,0.5588,0.9512,0.704,0.6278
