mes,0,1
1,8.21,7.85
2,8.28,8.87
3,7.17,10.56
4,7.86,8.63
5,8.77,8.27
6,9.53,7.72
7,8.21,7.6
8,9.05,8.45
9,10.58,8.39
10,7.31,7.85
11,6.89,8.15
12,8.14,7.66
