consultante_provincia,consultante_localidad,intervenciones,confirmadas,tasa
san luis,villa mercedes,5,4,0.8
san luis,villa de merlo,2,1,0.5
san luis,merlo,1,1,1.0
santa cruz,,13,7,0.5384615384615384
santa cruz,rio gallegos,3,3,1.0
santa cruz,ro gallegos,3,2,0.6666666666666666
santa cruz,pico truncado,1,0,0.0
santa fe,,198,106,0.5353535353535354
santa fe,rosario,72,38,0.5277777777777778
santa fe,santa fe,18,13,0.7222222222222222
santa fe,glvez,3,1,0.3333333333333333
santa fe,santo tom,3,2,0.6666666666666666
santa fe,granadero baigorria,2,1,0.5
santa fe,villa gobernador galvez,2,2,1.0
santa fe,coronda,1,1,1.0
santa fe,el rabn,1,1,1.0
santa fe,florencia,1,1,1.0
santa fe,funes,1,1,1.0
santa fe,gaboto,1,1,1.0
santa fe,humberto i,1,0,0.0
santa fe,las colonias,1,1,1.0
santa fe,san lorenzo,1,1,1.0
santa fe,san nicols de los arroyos,1,0,0.0
santa fe,santa fe de la vera cruz,1,1,1.0
santa fe,venado tuerto,1,1,1.0
santa fe,vera,1,0,0.0
santiago del estero,,45,31,0.6888888888888889
santiago del estero,la banda,12,3,0.25
santiago del estero,santiago del estero,9,5,0.5555555555555556
santiago del estero,donadeu,4,0,0.0
santiago del estero,termas de ro hondo,4,3,0.75
santiago del estero,ciudad autnoma de buenos aires,2,0,0.0
santiago del estero,villa ro hondo,2,2,1.0
santiago del estero,aguirre,1,1,1.0
santiago del estero,capital,1,1,1.0
santiago del estero,el quince,1,1,1.0
santiago del estero,termas de rio hondo,1,1,1.0
santiago del estero,villa atamisqui,1,1,1.0
tierra del fuego,,19,13,0.6842105263157895
tierra del fuego,ushuaia,6,6,1.0
tierra del fuego,rio grande,2,2,1.0
tierra del fuego,paran,1,0,0.0
tierra del fuego,ro grande,1,0,0.0
tierra del fuego,santiago del estero,1,1,1.0
tucumn,,173,72,0.4161849710982659
tucumn,san miguel de tucumn,25,21,0.84
tucumn,alderetes,1,1,1.0
tucumn,bella vista,1,1,1.0
tucumn,ciudad autnoma de buenos aires,1,1,1.0
tucumn,concepcin,1,0,0.0
tucumn,ingenio nueva baviera,1,0,0.0
tucumn,juan bautista alberdi,1,0,0.0
tucumn,las talitas,1,0,0.0
tucumn,lules,1,0,0.0
tucumn,salta,1,1,1.0
tucumn,sm tuc,1,0,0.0
tucumn,taf viejo,1,1,1.0
tucumn,tucumn,1,0,0.0
tucumn,villa de leales,1,0,0.0
