feature,coef,coef_abs,signo
cat__provincia_Catamarca,-0.20768707518117363,0.20768707518117363,-
cat__origen_institucion - ente nacional de comunicaciones,-0.20758960951022523,0.20758960951022523,-
"cat__consultante_como_conocio_la_linea_No sabe, no recuerda",0.20646109522621822,0.20646109522621822,+
cat__consultante_localidad_general rodrguez,-0.20641796234958393,0.20641796234958393,-
cat__consultante_localidad_florencio varela,0.20556689027626712,0.20556689027626712,+
cat__localidad_Pampa Blanca,-0.20418237224600244,0.20418237224600244,-
cat__consultante_localidad_guaymalln,0.2037745339856183,0.2037745339856183,+
cat__consultante_como_conocio_la_linea_Por Recomendación,-0.20237001586315922,0.20237001586315922,-
cat__localidad_Puerto Madryn,-0.20206066552466534,0.20206066552466534,-
cat__consultante_localidad_quilmes,0.20157359052033527,0.20157359052033527,+
cat__origen_institucion - asesoria general tutelar de caba,-0.20100603431880087,0.20100603431880087,-
cat__localidad_Villa Madero,0.20049102412930905,0.20049102412930905,+
cat__provincia_Formosa,-0.2003322748910637,0.2003322748910637,-
cat__provincia_San Luis,0.1992217528715251,0.1992217528715251,+
cat__localidad_Santa Rosa,0.1990138572835206,0.1990138572835206,+
cat__situacion_Emergencia,-0.19890469591740337,0.19890469591740337,-
cat__via_ingreso_,-0.19768551685337435,0.19768551685337435,-
cat__consultante_localidad_santa fe,0.19688955100378142,0.19688955100378142,+
cat__consultante_nacionalidad_argentina,0.19072777350807188,0.19072777350807188,+
cat__consultante_localidad_salta,-0.1891183603266573,0.1891183603266573,-
cat__localidad_Chascomús,-0.18865909432821007,0.18865909432821007,-
cat__localidad_Venado Tuerto,0.18697666994139858,0.18697666994139858,+
cat__localidad_Tucumán,-0.1856212674704443,0.1856212674704443,-
cat__consultante_como_conocio_la_linea_.,-0.1829163654991291,0.1829163654991291,-
cat__consultante_localidad_la matanza,0.18177484782195655,0.18177484782195655,+
cat__consultante_localidad_gonzlez catn,0.18078995975836296,0.18078995975836296,+
cat__origen_institucion,-0.18075397503436227,0.18075397503436227,-
cat__localidad_Dean Funes,-0.1802406516671184,0.1802406516671184,-
cat__dependencia_alta_Línea 149,-0.17896907012899993,0.17896907012899993,-
cat__consultante_localidad_santiago del estero,-0.1780678234688657,0.1780678234688657,-
cat__provincia_La Rioja,0.17738424762704968,0.17738424762704968,+
