feature,coef,coef_abs,signo
cat__provincia_Catamarca,-0.20768708298747493,0.20768708298747493,-
cat__origen_institucion - ente nacional de comunicaciones,-0.2075896072383718,0.2075896072383718,-
"cat__consultante_como_conocio_la_linea_No sabe, no recuerda",0.2064611053392207,0.2064611053392207,+
cat__consultante_localidad_general rodrguez,-0.20641796006616608,0.20641796006616608,-
cat__consultante_localidad_florencio varela,0.20556689175621914,0.20556689175621914,+
cat__localidad_Pampa Blanca,-0.20418237187592234,0.20418237187592234,-
cat__consultante_localidad_guaymalln,0.2037745351532596,0.2037745351532596,+
cat__consultante_como_conocio_la_linea_Por Recomendación,-0.2023700234870739,0.2023700234870739,-
cat__localidad_Puerto Madryn,-0.20206066297669414,0.20206066297669414,-
cat__consultante_localidad_quilmes,0.20157359392193908,0.20157359392193908,+
cat__origen_institucion - asesoria general tutelar de caba,-0.20100603889837812,0.20100603889837812,-
cat__localidad_Villa Madero,0.20049102657862303,0.20049102657862303,+
cat__provincia_Formosa,-0.20033227856873148,0.20033227856873148,-
cat__provincia_San Luis,0.19922175681384396,0.19922175681384396,+
cat__localidad_Santa Rosa,0.19901385671992722,0.19901385671992722,+
cat__situacion_Emergencia,-0.19890470134710458,0.19890470134710458,-
cat__via_ingreso_,-0.19768552225096025,0.19768552225096025,-
cat__consultante_localidad_santa fe,0.19688955568983899,0.19688955568983899,+
cat__consultante_nacionalidad_argentina,0.1907277869386774,0.1907277869386774,+
cat__consultante_localidad_salta,-0.18911835746416647,0.18911835746416647,-
cat__localidad_Chascomús,-0.18865909505523018,0.18865909505523018,-
cat__localidad_Venado Tuerto,0.1869766698736001,0.1869766698736001,+
cat__localidad_Tucumán,-0.18562126420774444,0.18562126420774444,-
cat__consultante_como_conocio_la_linea_.,-0.18291636662603253,0.18291636662603253,-
cat__consultante_localidad_la matanza,0.18177484682498327,0.18177484682498327,+
cat__consultante_localidad_gonzlez catn,0.1807899616247451,0.1807899616247451,+
cat__origen_institucion,-0.18075397241544916,0.18075397241544916,-
cat__localidad_Dean Funes,-0.18024065360265532,0.18024065360265532,-
cat__dependencia_alta_Línea 149,-0.17896907057001743,0.17896907057001743,-
cat__consultante_localidad_santiago del estero,-0.17806782384100794,0.17806782384100794,-
cat__provincia_La Rioja,0.17738424747086887,0.17738424747086887,+
cat__temporada_verano,-0.17663975447712144,0.17663975447712144,-
cat__consultante_localidad_grand bourg,0.176483653537927,0.176483653537927,+
cat__localidad_Alderetes,0.17614147842184993,0.17614147842184993,+
cat__consultante_provincia_santa cruz,0.17585828956215832,0.17585828956215832,+
cat__localidad_Azul,-0.17569867339567066,0.17569867339567066,-
cat__consultante_localidad_azul,-0.17569867339567066,0.17569867339567066,-
"cat__origen_institucion - servicio local, municipio san miguel",-0.17546615418229172,0.17546615418229172,-
cat__consultante_provincia_jujuy,-0.175288787245548,0.175288787245548,-
cat__consultante_tipo_,0.17394860743083002,0.17394860743083002,+
cat__localidad_Capitán Bermúdez,-0.17324337709547527,0.17324337709547527,-
"cat__origen_institucion - direccion de generos, municipalidad de lujan",-0.17281894602162468,0.17281894602162468,-
cat__localidad_Lujan,-0.17281894602162468,0.17281894602162468,-
cat__temporada_primavera,-0.1726223102985359,0.1726223102985359,-
cat__consultante_provincia_corrientes,-0.17250037609724073,0.17250037609724073,-
cat__consultante_provincia_buenos aires,-0.1712949874486406,0.1712949874486406,-
cat__consultante_localidad_villa la florida,-0.17005609107363,0.17005609107363,-
cat__localidad_Partido Malvinas Argentinas,-0.16953850968651243,0.16953850968651243,-
cat__localidad_Almirante Brown,-0.16914578329448796,0.16914578329448796,-
cat__consultante_localidad_mar del plata,-0.16790221630188695,0.16790221630188695,-
cat__localidad_Ushuaia,0.16748927350791737,0.16748927350791737,+
cat__consultante_localidad_ro grande,-0.16743590022823723,0.16743590022823723,-
cat__localidad_General Alvear,-0.16733503895447058,0.16733503895447058,-
cat__localidad_Don Torcuato,0.16668750190071255,0.16668750190071255,+
cat__consultante_localidad_zapala,-0.16572476332303543,0.16572476332303543,-
cat__localidad_Zapala,-0.16572476332303543,0.16572476332303543,-
cat__localidad_Lanús Oeste,-0.16474264781277118,0.16474264781277118,-
cat__consultante_localidad_lomas del mirador,-0.16402205889018023,0.16402205889018023,-
cat__origen_institucion - escuela de adultos 726 lomas de zamora,-0.1633179616713304,0.1633179616713304,-
cat__origen_institucion - oficina de violencia domestica de tucuman,-0.16251960651651914,0.16251960651651914,-
cat__localidad_Posadas,0.16131283248685907,0.16131283248685907,+
cat__localidad_Trancas,0.1612408414956397,0.1612408414956397,+
cat__localidad_Tigre,-0.1610339227149888,0.1610339227149888,-
cat__localidad_La Plata,0.15904904437870326,0.15904904437870326,+
cat__consultante_localidad_lans este,-0.15887412112467392,0.15887412112467392,-
cat__consultante_localidad_temperley,0.15705317789167184,0.15705317789167184,+
cat__localidad_Temperley,0.15705317789167184,0.15705317789167184,+
cat__consultante_localidad_ezeiza,0.156990759173875,0.156990759173875,+
cat__consultante_localidad_ramos meja,0.1562554098033154,0.1562554098033154,+
cat__consultante_genero_hombre,0.15566260645163335,0.15566260645163335,+
cat__localidad_Clorinda,0.15479237619293892,0.15479237619293892,+
cat__consultante_localidad_olivos,0.1541927496268276,0.1541927496268276,+
cat__localidad_General Güemes,0.15378624854798334,0.15378624854798334,+
cat__consultante_localidad_esquel,0.15284180149048765,0.15284180149048765,+
cat__consultante_localidad_rivadavia,0.1525670500690707,0.1525670500690707,+
cat__consultante_localidad_bella vista,-0.1519541297255527,0.1519541297255527,-
cat__localidad_RIO NEGRO,0.15167149110813682,0.15167149110813682,+
cat__localidad_Ramos Mejía,-0.1514542355698138,0.1514542355698138,-
cat__localidad_BUENOS AIRES,0.15143573560040674,0.15143573560040674,+
cat__localidad_Ezeiza,0.1512158986564289,0.1512158986564289,+
cat__consultante_localidad_jardn amrica,-0.1508634817211285,0.1508634817211285,-
cat__localidad_Dos de Mayo,-0.1508634817211285,0.1508634817211285,-
cat__consultante_localidad_william c. morris,-0.150095024307353,0.150095024307353,-
cat__consultante_como_conocio_la_linea_Por publicidad en internet,0.14994400638573888,0.14994400638573888,+
cat__provincia_Tucumán,0.14922038656986011,0.14922038656986011,+
num__anio,0.14921369895268474,0.14921369895268474,+
cat__consultante_como_conocio_la_linea_Derivado de otro organismo,-0.14875695418432608,0.14875695418432608,-
cat__localidad_Bariloche,-0.14673348364163757,0.14673348364163757,-
cat__origen_institucion - telefonia argentina,-0.14673348364163757,0.14673348364163757,-
cat__consultante_localidad_capilla del monte,-0.14522578512324325,0.14522578512324325,-
cat__consultante_localidad_san antonio,-0.14432188895923476,0.14432188895923476,-
cat__consultante_localidad_ro tercero,0.14413657049901393,0.14413657049901393,+
